yr;regionos;aaidx3c;aaidx5c_loc;aampwr;aalpwr;impdec;impelec;trustfedgov;truststgov;trustcitygov;eval_presfpv3;eval_preffpv3;eval_govfpv3;age_std;educ_std;tid_rel_std;inchhpc_std;gender2;ptyidPT;ptyvpres3;region
2013;NO;Status Quo;Status Quo;No one;No one;Federal Government;Federal Government;3.0;3.0;2.0;3.0;3.0;2.0;0.0210461713705836;0.8170939195446204;-0.0196621934150469;-0.5797156011758621;1;0;PT/Lula;NO
2013;NO;;;President and Governor;Major;Local Government;State Government;2.0;2.0;2.0;2.0;2.0;2.0;1.414973753451268;-0.7466075931517427;-0.0196621934150469;-0.1922851519943981;0;0;PT/Lula;NO
2013;NO;Decentralist;Decentralist;No one;President;State Government;State Government;2.0;3.0;3.0;2.0;3.0;3.0;-0.8659986535898517;0.8170939195446204;-0.0196621934150469;-0.3812351892422564;1;1;PT/Lula;NO
2013;NO;Status Quo;Status Quo;No one;No one;State Government;State Government;3.0;2.0;3.0;3.0;3.0;2.0;-1.4362417553501317;1.598944675892802;-0.0196621934150469;0.3215263528024096;1;0;;NO
2013;NO;Decentralist;Localist;Major;President;State Government;State Government;0.0;2.0;1.0;1.0;2.0;2.0;-0.9293589982298828;0.0352431631964388;-0.0196621934150469;0.1143442944166;0;0;PT/Lula;NO
2013;NO;Status Quo;Status Quo;No one;No one;All Levels;Local Government;3.0;3.0;3.0;2.0;1.0;3.0;1.2882530641712058;-1.5284583494999244;-0.0196621934150469;-0.5348233927648248;0;1;PT/Lula;NO
2013;NO;Status Quo;Status Quo;No one;No one;State Government;State Government;1.0;1.0;1.0;2.0;2.0;2.0;-1.0560796875099452;-1.5284583494999244;;-0.6812348097849087;1;0;;NO
2013;NE;Status Quo;Status Quo;No one;No one;State Government;Federal Government;3.0;2.0;3.0;3.0;2.0;2.0;-0.6125572750297273;0.0352431631964388;-0.0196621934150469;-0.5270913583458664;0;0;PT/Lula;NE
2013;NE;Decentralist;Decentralist;Governor and Major;No one;Local Government;Federal Government;1.0;0.0;0.0;1.0;1.0;1.0;-0.8659986535898517;0.8170939195446204;-0.0196621934150469;-0.3828926457093429;1;0;PT/Lula;NE
2013;NE;Centralist;Centralist;President;Major;All Levels;All Levels;1.0;2.0;;2.0;2.0;2.0;-0.992719342869914;0.8170939195446204;-0.0196621934150469;0.5287084111882192;0;0;;NE
2013;NE;;;All;No one;State Government;All Levels;3.0;0.0;1.0;3.0;1.0;1.0;0.844730651690988;0.0352431631964388;1.2190559917329098;0.3215263528024096;0;0;PT/Lula;NE
2013;NE;Status Quo;Status Quo;No one;No one;Local Government;Local Government;1.0;1.0;2.0;1.0;2.0;1.0;-0.992719342869914;1.598944675892802;1.2190559917329098;0.3353412524555754;1;0;PT/Lula;NE
2013;NE;Status Quo;Status Quo;No one;No one;Federal Government;All Levels;2.0;1.0;2.0;2.0;;2.0;0.2111272052906769;0.8170939195446204;-0.0196621934150469;;0;1;PT/Lula;NE
2013;NE;Centralist;Centralist;President;Major;Federal Government;Federal Government;0.0;1.0;0.0;3.0;1.0;2.0;-0.6125572750297273;-0.7466075931517427;-0.0196621934150469;;1;0;PT/Lula;NE
2013;NE;Status Quo;Status Quo;No one;No one;Local Government;Local Government;2.0;0.0;2.0;2.0;2.0;2.0;-0.0423141732694474;1.598944675892802;-0.0196621934150469;0.4251173819953144;0;0;PT/Lula;NE
2013;NE;Centralist;Centralist;President;No one;Federal Government;Federal Government;0.0;0.0;0.0;1.0;1.0;1.0;-1.562962444630194;0.8170939195446204;-0.0196621934150469;-0.4243290573865048;1;0;PT/Lula;NE
2013;NE;Decentralist;Localist;Major;No one;Local Government;Federal Government;2.0;2.0;2.0;3.0;3.0;2.0;-1.562962444630194;-1.5284583494999244;1.2190559917329098;-0.3000198223550191;0;0;;NE
2013;NE;Status Quo;Status Quo;No one;No one;Local Government;Local Government;3.0;2.0;2.0;2.0;2.0;1.0;-1.1828003767900073;0.8170939195446204;1.2190559917329098;-0.2171469990006952;1;0;PT/Lula;NE
2013;NE;;;;;All Levels;Federal Government;2.0;2.0;2.0;2.0;2.0;1.0;1.2882530641712058;-1.5284583494999244;-0.0196621934150469;-0.4657654690636668;1;0;PT/Lula;NE
2013;NE;;;;No one;All Levels;Federal Government;3.0;3.0;3.0;3.0;;2.0;-1.2461607214300383;0.8170939195446204;-0.0196621934150469;-0.5486382924179906;1;0;PT/Lula;NE
2013;NE;;;President and Governor;No one;Federal Government;Federal Government;3.0;3.0;3.0;3.0;3.0;3.0;0.2111272052906769;0.8170939195446204;-1.2583803785630037;-0.0928377639692095;1;0;PT/Lula;NE
2013;NE;Status Quo;Status Quo;No one;No one;Federal Government;Federal Government;2.0;2.0;1.0;1.0;1.0;2.0;-0.7392779643097895;-1.5284583494999244;2.4577741768808665;0.0314714710622762;0;0;Others;NE
2013;NE;;;;;All Levels;State Government;2.0;1.0;1.0;1.0;2.0;3.0;1.0981720302511124;-0.7466075931517427;-1.2583803785630037;-0.6033343558318444;1;0;;NE
